gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,0.0,0.0,0.0
Central_PV,Solar,2030,0.0,0.0,0.0
Coal_IGCC,Coal,2020,-5.83930770404e-15,-3.19642535857e-11,-4.43427684152e-12
Coal_IGCC,Coal,2030,-3.89288601355e-15,-2.36773113116e-11,-2.95619535251e-12
Coal_IGCC_CCS,Coal,2020,0.0,0.0,0.0
Coal_IGCC_CCS,Coal,2030,5.08278701985e-15,5.01061144417e-11,7.55935669724e-13
Coal_ST,Coal,2020,29.664062784,103824.219744,26209.9793134
Coal_ST,Coal,2030,14.832072,50429.0448,12750.835657
Commercial_PV,Solar,2020,0.0,0.0,0.0
Commercial_PV,Solar,2030,0.0,0.0,0.0
Geothermal,Geothermal,2020,33.9622224342,1126000.5037,0.0
Geothermal,Geothermal,2030,33.962315418,1126003.58653,0.0
NG_CC,NaturalGas,2020,73.8387060628,266098.00055,26269.3970915
NG_CC,NaturalGas,2030,65.2708745483,189470.449746,23221.2428067
NG_CC_CCS,NaturalGas,2020,0.0,0.0,0.0
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0
NG_GT,NaturalGas,2020,11.0717074998,301739.251825,6103.75927136
NG_GT,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Uranium,2020,0.0,0.0,0.0
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0
Wind,Wind,2020,0.0,0.0,0.0
Wind,Wind,2030,85.8270294,0.0,0.0
